Abbreviation,Group,Abbreviation Group,1,2
And,1,And1,677,3092
And,2,And2,3092,5447
And,3,And3,9640,5447
And,4,And4,5447,4436
And,5,And5,4436,3881
Ant,1,Ant1,51172,48926
Aps,1,Aps1,72370,81065
Aps,2,Aps2,81065,81852
Aql,1,Aql1,98036,97649
Aql,2,Aql2,97649,97278
Aql,3,Aql3,97649,95501
Aql,4,Aql4,95501,97804
Aql,5,Aql5,99473,97804
Aql,6,Aql6,95501,93747
Aql,7,Aql7,93747,93244
Aql,8,Aql8,95501,93805
Aqr,1,Aqr1,106278,109074
Aqr,2,Aqr2,109074,110395
Aqr,3,Aqr3,110395,110960
Aqr,4,Aqr4,110960,111497
Aqr,5,Aqr5,111497,112961
Aqr,6,Aqr6,112961,114855
Aqr,7,Aqr7,114855,115438
Aqr,8,Aqr8,109074,110003
Aqr,9,Aqr9,110003,109139
Aqr,10,Aqr10,110003,111123
Aqr,11,Aqr11,111123,112716
Aqr,12,Aqr12,112716,113136
Aqr,13,Aqr13,113136,114341
Aqr,14,Aqr14,102618,106278
Ara,1,Ara1,88714,85792
Ara,2,Ara2,85792,83081
Ara,3,Ara3,83081,82363
Ara,4,Ara4,82363,85727
Ara,5,Ara5,85727,85267
Ara,6,Ara6,85267,85258
Ara,7,Ara7,85258,88714
Ari,1,Ari1,13209,9884
Ari,2,Ari2,9884,8903
Ari,3,Ari3,8903,8832
Aur,1,Aur1,28380,28360
Aur,2,Aur2,28360,24608
Aur,3,Aur3,24608,23453
Aur,4,Aur4,23453,23015
Aur,5,Aur5,25428,23015
Aur,6,Aur6,25428,28380
Boo,1,Boo1,71795,69673
Boo,2,Boo2,69673,72105
Boo,3,Boo3,72105,74666
Boo,4,Boo4,74666,73555
Boo,5,Boo5,73555,71075
Boo,6,Boo6,71075,71053
Boo,7,Boo7,71053,69673
Boo,8,Boo8,69673,67927
Boo,9,Boo9,67927,67459
Cae,1,Cae1,21060,21770
Cae,2,Cae2,21770,21861
Cam,1,Cam1,16228,18505
Cam,2,Cam2,18505,22783
Cam,3,Cam3,16228,17959
Cam,4,Cam4,17959,22783
Cam,5,Cam5,17959,25110
Cap,1,Cap1,100064,100345
Cap,2,Cap2,100345,104139
Cap,3,Cap3,104139,105515
Cap,4,Cap4,105515,106985
Cap,5,Cap5,106985,107556
Cap,6,Cap6,105515,105881
Cap,7,Cap7,105881,104139
Cap,8,Cap8,100345,102485
Cap,9,Cap9,104139,102978
Car,1,Car1,45238,50099
Car,2,Car2,50099,52419
Car,3,Car3,52419,52468
Car,4,Car4,52468,54463
Car,5,Car5,54463,53253
Car,6,Car6,53253,51232
Car,7,Car7,51232,50371
Car,8,Car8,50371,45556
Car,9,Car9,42568,41037
Car,10,Car10,41037,30438
Car,11,Car11,45080,45556
Car,12,Car12,45080,42568
Car,13,Car13,30438,31685
Car,14,Car14,41037,39429
Cas,1,Cas1,8886,6686
Cas,2,Cas2,6686,4427
Cas,3,Cas3,4427,3179
Cas,4,Cas4,3179,746
Cen,1,Cen1,71683,68702
Cen,2,Cen2,68702,66657
Cen,3,Cen3,66657,68002
Cen,4,Cen4,68002,68282
Cen,5,Cen5,68282,67472
Cen,6,Cen6,67472,67464
Cen,7,Cen7,67464,65936
Cen,8,Cen8,65936,65109
Cen,9,Cen9,67464,68933
Cen,10,Cen10,67472,71352
Cen,11,Cen11,71352,73334
Cen,12,Cen12,68002,61932
Cen,13,Cen13,61932,60823
Cen,14,Cen14,60823,59196
Cen,15,Cen15,59196,56480
Cen,16,Cen16,56480,56561
Cep,1,Cep1,109492,112724
Cep,2,Cep2,112724,106032
Cep,3,Cep3,106032,105199
Cep,4,Cep4,105199,109492
Cep,5,Cep5,112724,116727
Cep,6,Cep6,116727,106032
Cet,1,Cet1,10324,11484
Cet,2,Cet2,8102,3419
Cet,3,Cet3,3419,1562
Cet,4,Cet4,3419,5364
Cet,5,Cet5,5364,6537
Cet,6,Cet6,6537,8645
Cet,7,Cet7,8645,11345
Cet,8,Cet8,11345,12390
Cet,9,Cet9,12390,12770
Cet,10,Cet10,12770,11783
Cet,11,Cet11,11783,8102
Cet,12,Cet12,12387,12706
Cet,14,Cet13,12706,14135
Cet,15,Cet14,14135,13954
Cet,16,Cet15,13954,12828
Cet,17,Cet16,12828,11484
