HIP,right ascension_lon,declination_lat,apparent magnitude,Star Name
88,0.25,-48.8,5.71,
107,0.25,-50.33,5.53,
122,0.25,-77.05,4.78,
124,0.25,61.21,5.58,
145,0.25,-3.01,5.13,
154,0.25,-6,4.37,
171,0.5,27.08,5.8,
183,0.5,-29.71,5.04,
194,0.5,8.48,5.7,
207,0.5,66.08,5.87,
301,0.75,-17.33,4.55,
330,1,62.28,5.9,
343,1,-16.51,5.78,
355,1,-10.5,4.99,
377,1,-71.43,5.59,
379,1,67.15,5.68,
418,1.25,61.3,5.8,
443,1.25,-5.7,4.61,
476,1.25,13.38,5.55,
518,1.5,58.43,5.98,
522,1.5,-49.06,5.7,
531,1.5,64.18,5.57,
636,1.75,-22.5,5.93,
655,2,-33.51,5.67,
671,2,-8.81,5.99,
677,2,29.08,2.07,Alpheratz
729,2.25,18.2,5.57,
746,2.25,59.15,2.28,Caph
761,2.25,-27.98,5.42,
765,2.25,-45.73,3.88,
813,2.5,11.13,5.54,
814,2.5,-82.21,5.29,
840,2.5,-5.23,5.84,
841,2.5,46.06,5.01,
873,2.5,-12.56,5.84,
910,2.75,-15.46,4.89,
930,2.75,-27.78,5.41,
950,2.75,-35.13,5.24,
983,3,-17.93,5.29,
1067,3.25,15.18,2.83,Algenib
1074,3.25,-84.98,5.78,
1086,3.25,41.03,5.71,
1096,3.25,-26.01,5.94,
1158,3.5,-7.76,5.13,
1168,3.5,20.2,4.79,
1170,3.5,-18.91,4.44,
1191,3.5,-9.56,5.77,
1288,4,-31.43,5.66,
1354,4,61.51,5.74,
1366,4.25,38.66,4.61,
1372,4.25,47.93,5.86,
1473,4.5,36.78,4.51,
1493,4.5,31.51,5.88,
1562,4.75,-8.81,3.56,
1599,5,-64.86,4.23,
1630,5,30.93,5.89,
1645,5,8.18,5.38,
1647,5,-69.61,5.5,
1657,5,32.9,5.79,
1686,5.25,37.96,5.16,
1706,5.25,-77.41,5.96,
1708,5.25,-28.96,5.18,
1728,5.25,-20.05,5.61,
1921,6,52.01,5.58,
1960,6,61.81,5.38,
1982,6.25,53.03,5.72,
2006,6.25,1.93,5.77,
2021,6.25,-77.25,2.82,
2072,6.5,-43.66,3.93,
2081,6.5,-42.3,2.4,Ankaa
2159,6.75,-25.53,5.99,
2210,6.75,-33,4.86,
2219,7,17.88,5.01,
2225,7,44.38,5.18,
2240,7,-39.9,5.42,
2353,7.5,-3.95,5.72,
2355,7.5,29.75,5.2,
2377,7.5,59.96,5.94,
2381,7.5,-23.78,5.17,
2383,7.5,-48.2,5.67,
2472,7.75,-48.8,4.76,
2475,7.75,33.56,5.88,
2484,7.75,-62.95,4.36,
2487,7.75,-62.95,4.53,
2497,7.75,52.83,5.59,
2505,7.75,54.51,4.74,
2548,8,6.95,5.69,
2568,8,20.28,5.38,
2578,8,-63.01,5.07,
2599,8,62.91,4.17,
2611,8.25,54.88,5.93,
2661,8.25,-29.55,5.55,
2711,8.5,-52.36,5.57,
2762,8.75,-3.58,5.2,
2787,8.75,-0.5,5.94,
2802,8.75,-48,5.51,
2854,9,54.16,5.08,
2876,9,60.31,5.78,
2900,9,44.48,5.14,
2903,9,15.21,5.89,
2912,9,33.71,4.34,
2920,9,53.88,3.69,
